compound,best_pvalue,best_combined_score,n_entries,databases,nrf2_status,nrf2_confidence,is_pains,pains_category,auc_class,rank,neg_log10_p
ljp006 mcf10a 24h-jw-7-24-1-10,3.36501713870565e-07,78.9119476597758,2,"LINCS_L1000_Chem_Pert_down,LINCS_L1000_Chem_Pert_up",unknown,,False,,putative_negative,909,6.47301271948567
ljp005 bt20 3h-pelitinib-10,3.42109887578501e-07,316.878678321147,2,"LINCS_L1000_Chem_Pert_down,LINCS_L1000_Chem_Pert_up",unknown,,False,,putative_negative,910,6.465834373757855
ljp006 bt20 3h-gsk-2126458-012,3.42109887578501e-07,316.878678321147,2,"LINCS_L1000_Chem_Pert_down,LINCS_L1000_Chem_Pert_up",unknown,,False,,putative_negative,911,6.465834373757855
0317956-0000,3.42109887578501e-07,316.878678321147,1,DSigDB,unknown,,False,,putative_negative,912,6.465834373757855
ljp005 bt20 24h-ldn-193189-333,3.4331570455349e-07,127.687546905587,2,"LINCS_L1000_Chem_Pert_down,LINCS_L1000_Chem_Pert_up",unknown,,False,,putative_negative,913,6.464306329854402
ljp005 bt20 24h-mitoxantrone-037,3.4331570455349e-07,127.687546905587,2,"LINCS_L1000_Chem_Pert_down,LINCS_L1000_Chem_Pert_up",unknown,,False,,putative_negative,914,6.464306329854402
ljp005 ht29 24h-nvp-auy922-333,3.55923136768556e-07,91.2299864147223,2,"LINCS_L1000_Chem_Pert_down,LINCS_L1000_Chem_Pert_up",unknown,,False,,putative_negative,915,6.448643779783972
ljp005 mcf10a 24h-neratinib-10,3.59055793763823e-07,83.9728212508352,2,"LINCS_L1000_Chem_Pert_down,LINCS_L1000_Chem_Pert_up",unknown,,False,,putative_negative,916,6.444838061056692
-chelidonine,3.62555772598933e-07,99.858190044276,3,DSigDB,unknown,,False,,putative_negative,917,6.440625175661742
ljp006 mdamb231 3h-at-7519-037,3.62555772598933e-07,99.858190044276,1,LINCS_L1000_Chem_Pert_down,unknown,,False,,putative_negative,918,6.440625175661742
ljp006 mdamb231 24h-cgp-60474-10,3.62555772598933e-07,99.858190044276,2,"LINCS_L1000_Chem_Pert_down,LINCS_L1000_Chem_Pert_up",unknown,,False,,putative_negative,919,6.440625175661742
ljp007 hcc515 24h-ibrutinib-10,3.65047669522484e-07,147.173576198139,2,"LINCS_L1000_Chem_Pert_down,LINCS_L1000_Chem_Pert_up",unknown,,False,,putative_negative,920,6.437650419766013
beta-escin,3.79329628488473e-07,110.409276776673,2,DSigDB,unknown,,False,,putative_negative,921,6.420983234316681
ljp007 ht29 24h-az-628-004,3.79329628488473e-07,110.409276776673,2,"LINCS_L1000_Chem_Pert_down,LINCS_L1000_Chem_Pert_up",unknown,,False,,putative_negative,922,6.420983234316681
ljp009 hcc515 24h-syk-inhibitor-333,3.85914548386578e-07,175.677887751831,2,"LINCS_L1000_Chem_Pert_down,LINCS_L1000_Chem_Pert_up",unknown,,False,,putative_negative,923,6.413508848884122
ljp005 mcf10a 3h-byl719-10,3.90016582852833e-07,222.573050464095,2,"LINCS_L1000_Chem_Pert_down,LINCS_L1000_Chem_Pert_up",unknown,,False,,putative_negative,924,6.40891692710588
ljp007 hcc515 24h-ibrutinib-037,3.90016582852833e-07,222.573050464095,2,"LINCS_L1000_Chem_Pert_down,LINCS_L1000_Chem_Pert_up",unknown,,False,,putative_negative,925,6.40891692710588
ljp006 ht29 24h-pd-0325901-10,4.00134875941548e-07,82.576534654557,2,"LINCS_L1000_Chem_Pert_down,LINCS_L1000_Chem_Pert_up",unknown,,False,,putative_negative,926,6.397793593662589
ljp005 skbr3 24h-vemurafenib-10,4.06674659805117e-07,123.800711855275,2,"LINCS_L1000_Chem_Pert_down,LINCS_L1000_Chem_Pert_up",unknown,,False,,putative_negative,927,6.390752887958503
ljp005 mcf10a 3h-tg-101348-10,4.06674659805117e-07,123.800711855275,2,"LINCS_L1000_Chem_Pert_down,LINCS_L1000_Chem_Pert_up",unknown,,False,,putative_negative,928,6.390752887958503
