"TargetNode","PerturbationType","PerturbedRule","Condition","FerroptosisFlipped","CellSurvivalFlipped","HammingDistance","AffectedNodes","PerturbedFerroptosis","BaselineFerroptosis"
"HMOX1","AND_to_OR","(NRF2 OR NOT BACH1)","BACH1_KO",NA,NA,0,"",NA,NA
"HMOX1","add_activator","((NRF2 AND NOT BACH1) OR PERTURB_ACTIVATOR)","Sham",NA,NA,0,"",NA,NA
"HMOX1","add_activator","((NRF2 AND NOT BACH1) OR PERTURB_ACTIVATOR)","WT_IR",NA,NA,0,"",NA,NA
"HMOX1","add_activator","((NRF2 AND NOT BACH1) OR PERTURB_ACTIVATOR)","Ogt_KO",NA,NA,0,"",NA,NA
"HMOX1","add_activator","((NRF2 AND NOT BACH1) OR PERTURB_ACTIVATOR)","Oga_KO",NA,NA,0,"",NA,NA
"HMOX1","add_activator","((NRF2 AND NOT BACH1) OR PERTURB_ACTIVATOR)","Nrf2_OE",NA,NA,0,"",NA,NA
"HMOX1","add_activator","((NRF2 AND NOT BACH1) OR PERTURB_ACTIVATOR)","Nrf2_KO",NA,NA,0,"",NA,NA
"HMOX1","add_activator","((NRF2 AND NOT BACH1) OR PERTURB_ACTIVATOR)","BACH1_KO",NA,NA,0,"",NA,NA
"HMOX1","add_inhibitor","((NRF2 AND NOT BACH1) AND NOT PERTURB_INHIBITOR)","Sham",NA,NA,1,"HMOX1",NA,NA
"HMOX1","add_inhibitor","((NRF2 AND NOT BACH1) AND NOT PERTURB_INHIBITOR)","WT_IR",NA,NA,1,"HMOX1",NA,NA
"HMOX1","add_inhibitor","((NRF2 AND NOT BACH1) AND NOT PERTURB_INHIBITOR)","Ogt_KO",NA,NA,1,"HMOX1",NA,NA
"HMOX1","add_inhibitor","((NRF2 AND NOT BACH1) AND NOT PERTURB_INHIBITOR)","Oga_KO",NA,NA,1,"HMOX1",NA,NA
"HMOX1","add_inhibitor","((NRF2 AND NOT BACH1) AND NOT PERTURB_INHIBITOR)","Nrf2_OE",NA,NA,1,"HMOX1",NA,NA
"HMOX1","add_inhibitor","((NRF2 AND NOT BACH1) AND NOT PERTURB_INHIBITOR)","Nrf2_KO",NA,NA,1,"HMOX1",NA,NA
"HMOX1","add_inhibitor","((NRF2 AND NOT BACH1) AND NOT PERTURB_INHIBITOR)","BACH1_KO",NA,NA,1,"HMOX1",NA,NA
