gene,rna_log2fc,prot_log2fc,residual
GOT1,0.160828573091905,-0.4703142589586733,-0.4431535423140711
CAPZA1,0.507813205151111,0.46453039246920724,0.4416926934386567
IMPA2,-0.295326624805349,-0.5338641907780897,-0.44097423113647516
SLC12A4,1.74959305224094,-0.23918048734864428,-0.44095125498043186
MRPL32,-0.227640753911773,0.35685940545151595,0.43999623485163236
MEMO1,0.178035651553644,-0.4640531834924815,-0.43937190421194733
TOM1,0.535794092271169,-0.41105303579063346,-0.43792261374586644
ADPRH,0.44169782655045,-0.42450254428129597,-0.43781341164158427
OSBPL8,-1.27296639534113,0.20397251778561198,0.4377345366239821
PGAM2,0.272686384921716,-0.4482670156470867,-0.43722434244201536
CSPG4,1.57503751743652,-0.2596196206619119,-0.4362379769728984
PON2,0.0136748939892358,0.3873782863857631,0.4357429703998708
TLN1,1.0233269302141,0.5313106482503329,0.4341904965388585
DCTN3,0.242860369138591,0.4180485385138901,0.43338896267758
RHOG,0.58370100370888,0.46651370234468814,0.4327410242217028
CFL2,0.36358358405964,-0.4304534830830278,-0.4325085540611328
SMARCC2,-0.124128002018568,-0.5005409995957262,-0.43231974027755027
UBE2L3,-0.500332753640053,-0.5546561622897137,-0.43222604236894746
PARK7,0.570728432282516,-0.3982147810285106,-0.4301181889918876
MYOT,0.0987889712745018,0.39357059246731296,0.42967084566020297
P4HA1,-0.0458968708811671,0.3726702367247725,0.4296188567040461
MDH1,-0.237052714119532,-0.5124406283366483,-0.4279475916140553
MAPKAPK2,0.323668153984878,-0.4306931510182803,-0.4269966466228976
DHDH,-0.415714880883638,-0.5365514704213261,-0.4263142812090891
ERP44,-0.684525273866623,0.2766805771039067,0.42565174045904225
ANK3,-0.365284995615502,-0.5282076640826858,-0.42523712051732665
LCLAT1,-0.83427489737593,0.25337640735351386,0.42392559818203446
RAB11FIP5,0.777030509952465,-0.3621911625854892,-0.42382146932468795
NACA,0.0380520292893221,-0.46633211963751364,-0.4214800354076384
