gene,log2FC_GSE57338,p_GSE57338,log2FC_GSE193997,padj_GSE193997,same_direction
AFDN,0.0025368305460293783,0.9223323875191856,-0.405215771269658,0.00718060572620087,False
MCAM,0.06875948801096676,0.1623199253630493,0.874332856664194,2.32248341773479e-08,True
RPL5,0.016692496995680983,0.23562514436428444,0.326673630659982,0.00355488748755772,True
LRRC4B,-0.002889274156655297,0.9090520078487313,-2.07195052378071,2.41226582100368e-11,True
NT5C1A,0.3609423167239534,5.552574284631658e-07,-0.502654128203987,0.02168559497383,False
STK17B,-0.0765178145680041,0.1507977496967133,-0.433168413945693,0.0180459721558913,True
ELOVL5,-0.16691524764693355,9.465837320329275e-05,-0.397983002856739,0.0189550264224078,True
BHLHE40,-0.13591630690158674,0.06672446353177226,1.12212595536451,1.28384290768906e-05,False
DOCK6,0.025278589356388714,0.48779358692477626,-0.467836621480235,0.00160089095185772,False
ASNS,-0.09053440385306555,0.11241373601533347,1.82351510132631,5.60268434665895e-08,False
PCSK6,0.3096220665048186,6.0838835047803945e-15,-1.57509452696104,7.31497657387628e-11,False
ALDH9A1,0.2459028475986207,3.1219955344481965e-21,-0.544380363192283,0.00143688014264174,False
PMP22,-0.07118404360252661,0.008786624298295171,-0.478375842361564,0.00121804697229391,True
ACE,0.34145794060526846,1.975834660827347e-32,0.88030640030984,7.09173334741553e-08,True
PKNOX1,0.08154051909492388,0.0035175554296500364,0.49194957164413,0.0254864999500972,True
OXSM,0.013101952451687104,0.6655821116213609,-1.21654801288797,2.74202079354925e-10,False
HAND2,0.0018214336022763788,0.9666307313179618,0.66887221118576,0.0128124011852852,True
TTC28,0.14587216182519125,2.7420130358426304e-09,-0.777110904394405,4.85461557793928e-06,False
TOM1L2,0.24008945234027124,5.32203789928636e-16,0.401910057258809,0.000262206556898186,True
RNF144A,0.133039292649344,0.00016208674908671953,-0.680129625119552,0.00185909084498262,False
ZDHHC21,0.08185752458308393,0.00014249940779781595,0.396789032979418,0.0276202676554975,True
FAM76B,0.018617269418992777,0.31008212195029833,-0.477134466398701,0.00670662615352195,False
GDA,-0.055085162954968236,0.011029983590841296,2.40473109170197,3.45139833559636e-65,False
ANKRD10,-0.01976985192231595,0.4155945839566934,1.76474578738505,2.59320715309852e-18,False
MYL12A,0.026909796994225132,0.3455787272598228,0.90026872483902,3.47870850707984e-11,True
SSBP2,-0.025347943260841888,0.4143184701355976,-0.487537906069306,0.00756484236393271,True
KTI12,-0.1531568894002575,2.840145766291526e-06,0.554904358838128,0.00522224413594701,False
CNTNAP1,-0.19668848851998177,4.248305396406552e-05,-1.17627166335053,0.000147776333441872,True
TRIM28,-0.10934769890777662,1.4290531736966948e-08,0.379560754690193,0.00944521691375287,False
BTF3L4,-0.10012040031056912,5.023081318574885e-06,-0.383610914209424,0.00971559697823673,True
TTLL5,-0.003917176024260449,0.8314449829336253,-1.00437016575287,6.06949184022014e-06,True
GPALPP1,0.13643477855595698,1.336370930080364e-12,-0.50879803347547,0.00355653800043113,False
AFF4,0.026371443084704183,0.2603092569857416,0.556867495333803,1.22844465897812e-06,True
TAF10,-0.060978968279203016,0.001437325357081577,0.639721495181864,0.00011368684134842,False
CHAMP1,-0.006644512640454181,0.7772775235990043,0.831961216882452,2.70016026807275e-05,False
FEM1B,-0.12674503459546305,0.00010146519737253611,1.51157909167161,1.16976509540435e-20,False
COMTD1,-0.1505743689616983,3.3814299630995388e-12,2.35404529311669,0.00202458485177658,False
COLQ,0.5756546741009476,5.118591864725512e-10,-2.21499252860726,2.20016284343593e-09,False
PKNOX2,-0.09694133737267396,0.012711851927123043,-0.785344930390983,0.000304782607725815,True
IGSF1,0.13496767094715878,1.5605978145510654e-05,-0.769932162132324,0.000574293446416627,False
TRIM72,-0.03643502340798399,0.1538833401547604,0.56283248353985,5.60131262402657e-08,False
MCL1,0.03157682625731084,0.2788933046283982,0.765171191880929,5.14322591573297e-07,True
CD34,0.0188789243813563,0.6314173414878761,-0.7652411646952,1.60862453307699e-07,False
CPNE7,-0.015237494544948937,0.3934352397111602,2.76522066353679,7.80976567019278e-12,False
SOAT2,-0.02376642369495663,0.17571864443540441,3.55410871101803,1.07143403429354e-05,False
GABRA3,0.004206957391575283,0.8069669380847208,-1.65181959416708,0.00514267690917935,False
