gene,rna_log2fc,prot_log2fc,residual,studentized_residual,mean_sham,mean_ir
XPNPEP3,-0.946280310452679,0.3054352749021483,0.49212377762942455,1.301602478168939,14.985385418720229,15.290820693622377
EIF6,1.80233616513317,-0.2812189822810147,-0.4905897178616343,-1.2975450924335181,14.42959012780114,14.148371145520125
FABP3,0.586242357222616,-0.456364145939979,-0.4905030179448179,-1.2973157825897044,24.843024239418686,24.386660093478707
COPZ1,-0.030882032063422,-0.5422557971856552,-0.4874707259147202,-1.289295770145032,15.629001059959712,15.086745262774057
ALDH1A1,-1.22937317382314,0.25946109369949966,0.486941589355876,1.2878962737427266,16.223684239787868,16.483145333487368
COX19,0.691166840837587,-0.434605027652216,-0.48386289185895426,-1.279753524959425,15.483715697320575,15.049110669668359
ITGA5,3.43737498003832,-0.038618035780130455,-0.4835881113876822,-1.2790267668578696,15.843579406694808,15.804961370914677
GSTP1,0.432255918495133,-0.4716238627975784,-0.4835742075291995,-1.2789899929861734,20.893825038827803,20.422201176030224
DENR,0.0853828847574354,-0.520768692326774,-0.4827367020356745,-1.276774901427088,16.402077455750163,15.88130876342339
FHL1,2.92474822714829,-0.11071144924058984,-0.48181506763620896,-1.2743373000088256,18.083285206212487,17.972573756971897
DHRS7,-1.2282628744608,0.25305887687901674,0.48037938502034755,1.2705401088638035,15.523275168350525,15.776334045229541
HBS1L,-0.0571268966162001,0.4196754941012184,0.47824229380047173,1.2648877844805706,14.79620022927316,15.215875723374378
CREG1,-0.262815397220304,0.389907315500146,0.4781126011800929,1.2645447646067933,16.094033392473612,16.48394070797376
PEBP1,0.632423563350977,-0.435365382072618,-0.47615869040416925,-1.25937692833537,20.997069072249747,20.56170369017713
AKAP1,-0.421788715141214,-0.5872387115116044,-0.47612631901399416,-1.2592913102783099,16.180829097982137,15.593590386470533
THOP1,1.00509358770484,-0.38072319636918195,-0.47521603218912756,-1.2568837216980582,15.452547634225143,15.07182443785596
MAPT,-0.116821380255707,-0.5418833680795352,-0.4747149493725201,-1.2555584237435358,16.833824506859383,16.291941138779848
KLHL41,2.61862957375468,-0.14621143753755916,-0.4732051840133172,-1.2515652935142707,17.347101412617736,17.200889975080177
FKBP3,-0.119016021623064,-0.5399350747733962,-0.4724504213366416,-1.2495690457915483,18.91330029705811,18.373365222284715
MSRB3,-0.154387240216708,-0.5442058629757902,-0.4716244279332153,-1.2473844021922698,18.23496463528727,17.69075877231148
TRIM54,1.25083175812008,-0.3391124582406988,-0.4690146985600813,-1.2404820122370759,16.917876585508317,16.57876412726762
PLIN4,1.05421073455318,-0.36619169626126435,-0.46776201995243594,-1.237168842554614,19.30764954711026,18.941457850848995
NME2,0.905965266207794,-0.38753102060143974,-0.4677400566058829,-1.2371107524000595,22.507317684461523,22.119786663860083
MB,0.535111157529968,-0.43897055882903047,-0.46574172996184326,-1.2318254420161512,25.53974652530002,25.10077596647099
INMT,-3.75219051166006,-0.1258192880046387,0.46518413712871187,1.2303506825218853,16.630702572889106,16.504883284884468
PPME1,1.28553756713682,-0.32912378727604974,-0.464026927650468,-1.2272900160938203,17.731464341783422,17.402340554507372
FHOD3,-0.511446886893672,-0.5876201771553085,-0.46358857692982175,-1.2261306362584288,15.073056828922438,14.48543665176713
