gene,rna_log2fc,prot_log2fc,residual,studentized_residual,mean_sham,mean_ir
ANKRD1,2.62771993086209,0.9953441887508667,0.6670405760409918,1.7642343375409375,15.44918275678289,16.444526945533756
TINAGL1,2.62704882606479,-0.33107253315300156,-0.6592794436648055,-1.743707166139258,16.348509577927345,16.017437044774343
MYH7B,-1.72876376866825,0.3581355109762008,0.657575212425493,1.7391996993081544,21.780545889704356,22.138681400680557
HBB-B1,0.510007742243323,0.6755019378174119,0.6523480190825481,1.725374462409789,24.767124636303155,25.442626574120567
EFEMP1,-1.34633627379533,0.40364967280056696,0.6479838534641402,1.7138318200050224,15.632698276198388,16.036347948998955
FBN1,-0.568885236346048,-0.773041798170798,-0.6407336744158065,-1.6946560527581374,19.488853255600787,18.71581145742999
CCDC124,1.03901893766496,-0.5336327645201795,-0.633014040900633,-1.6742386403699228,14.980429048313853,14.446796283793674
OSTF1,0.261558808561298,0.6195310756242431,0.6321771662055349,1.672025217189471,15.23794364857993,15.857474724204174
REEP5,-0.455460421838634,-0.7458023159904315,-0.6298380314134562,-1.6658385142083492,19.28938708586683,18.5435847698764
OSBPL1A,-0.738838861388786,-0.784599309710778,-0.627801882380705,-1.6604531685952668,14.60960757720447,13.825008267493692
DNAJC28,-1.54661958317645,0.35326345928116787,0.626457270112811,1.6568968465079705,15.742872841930422,16.09613630121159
LANCL1,-0.0368295834848298,-0.6797630338067187,-0.6241209558538101,-1.6507176034647968,16.119618179307803,15.439855145501085
ASRGL1,-0.291743061544517,-0.7159291918467474,-0.6235556022946379,-1.6492223178738326,18.034971983916407,17.31904279206966
USP4,0.129182753246755,-0.6530773366237117,-0.6213566461105008,-1.643406368820436,14.11952405126939,13.466446714645679
ART3,0.645526310915469,-0.5783482765427443,-0.6210296126388921,-1.6425414084254302,18.646612252795254,18.06826397625251
