gene,in_OGT_PIN,log2FC,padj
YAP1,YES,0.870259344606729,1.09176299404511e-08
RPL21,YES,0.96621974671642,7.65666296780127e-13
LAP3,YES,0.309644242608068,0.0290983756732455
UBB,YES,1.12976916088634,8.98108987644546e-14
RPL7A,YES,0.728380830587674,7.84762370355728e-12
POLR2A,YES,0.344187091461384,0.0212757535258151
WNK1,YES,-0.360494312779785,0.00143774707118495
NCOR1,YES,-0.351214634150914,0.00138033906681286
FASN,YES,0.691269078438695,3.89162268058e-05
GEMIN5,YES,0.814252880729038,1.96588127542436e-06
LANCL2,YES,-0.87553546380715,1.07211501164021e-05
OGT,YES,-0.561297184848326,3.0941029436247e-07
FBXW11,YES,0.544792938633213,0.000931264366594556
LMO7,YES,-0.286303250326061,0.0223256100707316
CHTOP,YES,0.467775879926911,0.000581425645333592
PSMC5,YES,0.323946165411303,0.0103052221876608
RANGAP1,YES,1.18325028089462,1.45062227372402e-11
SAP30BP,YES,0.739202868514155,0.000118522609541764
UBA52,YES,1.6941818939947,6.30424602790112e-07
ESYT1,YES,0.565246352705189,1.47931002692471e-05
EEF2,YES,0.632063104391815,4.24076281615403e-09
MRPL14,YES,0.649596674471118,1.77160072112101e-05
AFF4,YES,0.556867495333803,1.22844465897812e-06
RESF1,YES,1.21140219586526,3.4366222939611e-08
PSMC3,YES,0.294638264327206,0.0136180550037518
HNRNPA0,YES,1.32976326493899,9.75916089847007e-27
GALK1,YES,0.888367047158124,0.00131338428296324
CCT2,YES,0.410628524931454,0.00173841300882008
HNRNPDL,YES,0.598943508242137,9.74432117909095e-08
NUP153,YES,0.422346134291257,0.00386702991397851
PGAM5,YES,0.855796142402343,9.81303200818343e-05
KLF5,YES,3.67991041036424,2.55502790552324e-06
VIM,YES,0.701470666683649,3.05092532403643e-06
PSMB5,YES,0.581877180890671,2.3061349512158e-05
PCLAF,YES,-1.49762916298722,0.0138982335482636
GDF15,YES,2.94632728879753,9.41933357745423e-08
MBD3,YES,0.591018305379932,3.54561325627648e-05
YWHAE,YES,-0.233216584221653,0.0279244405013531
NUP188,YES,0.450274764712054,0.0122174856901188
RAC1,YES,0.43022168296634,0.000134195586948697
HSPA8,YES,0.885731203391876,1.51418499122589e-07
CTU1,YES,0.966984043652054,0.00726570796674249
EP300,YES,0.362089126750903,0.0140793114419905
LMNB2,YES,0.901061934,6.66618722218991e-05
RSL1D1,YES,0.402161419023927,0.00157690206187414
PSMD2,YES,0.28903502312144,0.00886766672805133
PLCD3,YES,0.64233319072342,0.00114264349895638
TNRC6B,YES,-1.06786764205678,3.26965243056952e-15
SRSF3,YES,0.440123922259384,0.00108291459824113
FMNL3,YES,0.4358722303853,0.00104643232808583
NOP58,YES,1.80602694330891,9.06853249940084e-21
PPP1R9B,YES,0.953490801918356,2.47195424633737e-13
AK1,YES,-0.458993552043658,0.000132697546781221
ACTA1,YES,0.427976225755921,0.00249840324922688
ACTB,YES,1.13143885739734,2.57959506173356e-12
SIN3A,YES,-0.518775906217659,0.00073244062548604
SNRPF,YES,1.19087084191805,5.34759114976216e-05
TJP1,YES,-0.295939976869423,0.00933219403982186
TAB3,YES,-0.437633882110703,0.0384295941402381
EPB41L5,YES,-0.695635303176713,0.00846207938997672
